class,TLOC, TASSERT
./src/test/java/org/jfree/chart/labels/IntervalCategoryToolTipGeneratorTest.java,75,14
./src/test/java/org/jfree/chart/labels/StandardPieToolTipGeneratorTest.java,75,19
./src/test/java/org/jfree/chart/plot/dial/DialBackgroundTest.java,75,19
./src/test/java/org/jfree/chart/renderer/category/LayeredBarRendererTest.java,76,12
./src/test/java/org/jfree/chart/axis/CategoryTickTest.java,77,17
./src/test/java/org/jfree/chart/axis/SubCategoryAxisTest.java,78,14
./src/test/java/org/jfree/chart/block/AbstractBlockTest.java,78,26
./src/test/java/org/jfree/chart/internal/LineUtilsTest.java,78,34
./src/test/java/org/jfree/data/xy/DefaultOHLCDatasetTest.java,78,17
./src/test/java/org/jfree/chart/axis/ExtendedCategoryAxisTest.java,79,24
./src/test/java/org/jfree/chart/plot/dial/ArcDialFrameTest.java,79,25
./src/test/java/org/jfree/chart/labels/StandardCategoryToolTipGeneratorTest.java,80,16
./src/test/java/org/jfree/data/xy/VectorSeriesCollectionTest.java,80,21
./src/test/java/org/jfree/chart/renderer/category/AreaRendererTest.java,81,13
./src/test/java/org/jfree/chart/title/TextTitleTest.java,81,25
./src/test/java/org/jfree/chart/labels/StandardXYToolTipGeneratorTest.java,83,21
./src/test/java/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java,83,14
./src/test/java/org/jfree/chart/title/CompositeTitleTest.java,83,19
./src/test/java/org/jfree/chart/XYAreaChartTest.java,83,4
./src/test/java/org/jfree/chart/XYStepAreaChartTest.java,83,4
./src/test/java/org/jfree/chart/labels/StandardPieSectionLabelGeneratorTest.java,84,19
./src/test/java/org/jfree/chart/legend/LegendTitleTest.java,84,22
./src/test/java/org/jfree/chart/plot/dial/DialCapTest.java,84,22
./src/test/java/org/jfree/chart/ScatterPlotTest.java,84,4
./src/test/java/org/jfree/chart/TimeSeriesChartTest.java,84,4
./src/test/java/org/jfree/chart/urls/CustomCategoryURLGeneratorTest.java,84,17
./src/test/java/org/jfree/chart/urls/CustomXYURLGeneratorTest.java,84,17
./src/test/java/org/jfree/chart/XYLineChartTest.java,84,4
./src/test/java/org/jfree/chart/axis/CategoryLabelPositionTest.java,85,17
./src/test/java/org/jfree/chart/plot/dial/DialPointerTest.java,85,24
./src/test/java/org/jfree/data/time/TimeTableXYDatasetTest.java,85,25
./src/test/java/org/jfree/chart/plot/RingPlotTest.java,87,28
./src/test/java/org/jfree/chart/XYBarChartTest.java,87,4
./src/test/java/org/jfree/chart/annotations/XYTitleAnnotationTest.java,88,13
./src/test/java/org/jfree/data/xy/MatrixSeriesTest.java,88,32
./src/test/java/org/jfree/chart/LineChartTest.java,89,5
./src/test/java/org/jfree/data/statistics/SimpleHistogramBinTest.java,89,39
./src/test/java/org/jfree/chart/plot/PlotTest.java,90,30
./src/test/java/org/jfree/chart/renderer/category/IntervalBarRendererTest.java,90,14
./src/test/java/org/jfree/chart/renderer/xy/ClusteredXYBarRendererTest.java,90,18
./src/test/java/org/jfree/chart/renderer/xy/XYBubbleRendererTest.java,90,13
./src/test/java/org/jfree/chart/StackedAreaChartTest.java,90,5
./src/test/java/org/jfree/data/xy/YIntervalSeriesCollectionTest.java,90,13
./src/test/java/org/jfree/chart/annotations/XYPolygonAnnotationTest.java,91,17
./src/test/java/org/jfree/chart/annotations/TextAnnotationTest.java,92,22
./src/test/java/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRendererTest.java,92,18
./src/test/java/org/jfree/chart/StackedBarChartTest.java,92,5
./src/test/java/org/jfree/chart/BarChartTest.java,93,5
./src/test/java/org/jfree/chart/labels/StandardXYZToolTipGeneratorTest.java,93,23
./src/test/java/org/jfree/chart/renderer/xy/StackedXYBarRendererTest.java,93,18
./src/test/java/org/jfree/chart/XYStepChartTest.java,93,4
./src/test/java/org/jfree/data/statistics/BoxAndWhiskerCalculatorTest.java,93,19
./src/test/java/org/jfree/data/xy/DefaultWindDatasetTest.java,93,21
./src/test/java/org/jfree/chart/legend/PaintScaleLegendTest.java,94,28
./src/test/java/org/jfree/chart/renderer/xy/HighLowRendererTest.java,94,22
./src/test/java/org/jfree/chart/renderer/xy/AbstractXYItemRendererTest.java,95,20
./src/test/java/org/jfree/data/time/SimpleTimePeriodTest.java,95,21
./src/test/java/org/jfree/chart/annotations/CategoryPointerAnnotationTest.java,96,30
./src/test/java/org/jfree/chart/annotations/XYPointerAnnotationTest.java,96,30
./src/test/java/org/jfree/chart/AreaChartTest.java,96,5
./src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRenderer2Test.java,96,16
./src/test/java/org/jfree/chart/renderer/xy/XYDotRendererTest.java,96,19
./src/test/java/org/jfree/data/general/DefaultPieDatasetTest.java,96,20
./src/test/java/org/jfree/data/xy/XYIntervalSeriesCollectionTest.java,96,17
./src/test/java/org/jfree/chart/labels/StandardCategoryItemLabelGeneratorTest.java,97,19
./src/test/java/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java,97,16
./src/test/java/org/jfree/chart/renderer/xy/XYErrorRendererTest.java,97,24
./src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDatasetTest.java,97,29
./src/test/java/org/jfree/chart/renderer/xy/XYStepAreaRendererTest.java,98,20
./src/test/java/org/jfree/chart/annotations/XYShapeAnnotationTest.java,100,17
./src/test/java/org/jfree/chart/annotations/XYTextAnnotationTest.java,100,32
./src/test/java/org/jfree/data/xy/CategoryTableXYDatasetTest.java,101,38
./src/test/java/org/jfree/data/xy/XIntervalSeriesCollectionTest.java,101,17
./src/test/java/org/jfree/chart/TestUtils.java,102,33
./src/test/java/org/jfree/chart/annotations/XYDrawableAnnotationTest.java,103,18
./src/test/java/org/jfree/chart/labels/StandardXYItemLabelGeneratorTest.java,103,32
./src/test/java/org/jfree/chart/renderer/xy/XYShapeRendererTest.java,103,33
./src/test/java/org/jfree/chart/annotations/CategoryLineAnnotationTest.java,107,27
./src/test/java/org/jfree/chart/labels/BubbleXYItemLabelGeneratorTest.java,107,27
./src/test/java/org/jfree/chart/renderer/category/LevelRendererTest.java,108,17
./src/test/java/org/jfree/chart/renderer/LookupPaintScaleTest.java,108,49
./src/test/java/org/jfree/data/gantt/SlidingGanttCategoryDatasetTest.java,108,17
./src/test/java/org/jfree/data/general/DefaultHeatMapDatasetTest.java,108,38
./src/test/java/org/jfree/chart/axis/CategoryAxisTest.java,109,38
./src/test/java/org/jfree/chart/plot/CategoryMarkerTest.java,109,25
./src/test/java/org/jfree/chart/plot/dial/DialValueIndicatorTest.java,109,37
./src/test/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRendererTest.java,109,22
./src/test/java/org/jfree/data/time/TimePeriodValuesCollectionTest.java,109,26
./src/test/java/org/jfree/chart/plot/pie/MultiplePiePlotTest.java,110,32
./src/test/java/org/jfree/chart/plot/CrosshairTest.java,111,39
./src/test/java/org/jfree/chart/plot/DefaultDrawingSupplierTest.java,111,27
./src/test/java/org/jfree/chart/plot/ThermometerPlotTest.java,111,37
./src/test/java/org/jfree/data/ComparableObjectSeriesTest.java,111,34
./src/test/java/org/jfree/data/xy/DefaultHighLowDatasetTest.java,111,21
./src/test/java/org/jfree/data/xy/DefaultTableXYDatasetTest.java,111,31
./src/test/java/org/jfree/chart/renderer/xy/XYStepRendererTest.java,112,12
./src/test/java/org/jfree/chart/axis/CategoryLabelPositionsTest.java,114,12
./src/test/java/org/jfree/chart/renderer/xy/XYBlockRendererTest.java,114,27
./src/test/java/org/jfree/chart/renderer/category/ScatterRendererTest.java,115,28
./src/test/java/org/jfree/chart/renderer/xy/XYDifferenceRendererTest.java,115,23
./src/test/java/org/jfree/chart/axis/PeriodAxisLabelInfoTest.java,116,26
./src/test/java/org/jfree/chart/renderer/xy/XYAreaRenderer2Test.java,117,16
./src/test/java/org/jfree/chart/axis/LogarithmicAxisTest.java,124,13
