class,WMC,TASSERT
./src/test/java/org/jfree/chart/title/ImageTitleTest.java,11,16
./src/test/java/org/jfree/chart/axis/MarkerAxisBandTest.java,11,14
./src/test/java/org/jfree/data/statistics/SimpleHistogramDatasetTest.java,11,12
./src/test/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGeneratorTest.java,11,12
./src/test/java/org/jfree/data/DefaultKeyedValueTest.java,11,16
./src/test/java/org/jfree/data/ComparableObjectItemTest.java,11,13
./src/test/java/org/jfree/chart/renderer/GrayPaintScaleTest.java,11,20
./src/test/java/org/jfree/chart/internal/ShapeUtilsTest.java,11,13
./src/test/java/org/jfree/chart/WaterfallChartTest.java,11,2
./src/test/java/org/jfree/data/gantt/XYTaskDatasetTest.java,11,15
./src/test/java/org/jfree/chart/axis/SubCategoryAxisTest.java,11,14
./src/test/java/org/jfree/chart/internal/LineUtilsTest.java,11,34
./src/test/java/org/jfree/data/xy/VectorSeriesCollectionTest.java,11,21
./src/test/java/org/jfree/chart/XYAreaChartTest.java,11,4
./src/test/java/org/jfree/chart/plot/dial/DialPointerTest.java,11,24
./src/test/java/org/jfree/chart/LineChartTest.java,11,5
./src/test/java/org/jfree/data/statistics/SimpleHistogramBinTest.java,11,39
./src/test/java/org/jfree/chart/StackedAreaChartTest.java,11,5
./src/test/java/org/jfree/data/xy/YIntervalSeriesCollectionTest.java,11,13
./src/test/java/org/jfree/chart/renderer/xy/ClusteredXYBarRendererTest.java,11,18
./src/test/java/org/jfree/chart/StackedBarChartTest.java,11,5
./src/test/java/org/jfree/chart/BarChartTest.java,11,5
./src/test/java/org/jfree/chart/AreaChartTest.java,11,5
./src/test/java/org/jfree/data/xy/XYIntervalSeriesCollectionTest.java,11,17
./src/test/java/org/jfree/chart/labels/StandardCategoryItemLabelGeneratorTest.java,11,19
./src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDatasetTest.java,11,29
./src/test/java/org/jfree/chart/renderer/xy/XYShapeRendererTest.java,11,33
./src/test/java/org/jfree/chart/plot/CategoryMarkerTest.java,11,25
./src/test/java/org/jfree/data/ComparableObjectSeriesTest.java,11,34
./src/test/java/org/jfree/chart/axis/PeriodAxisLabelInfoTest.java,11,26
./src/test/java/org/jfree/data/KeyToGroupMapTest.java,11,37
./src/test/java/org/jfree/chart/renderer/xy/CandlestickRendererTest.java,11,38
./src/test/java/org/jfree/data/statistics/RegressionTest.java,11,16
./src/test/java/org/jfree/chart/plot/FastScatterPlotTest.java,11,38
./src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest.java,11,9
./src/test/java/org/jfree/chart/renderer/xy/XYLineAndShapeRendererTest.java,11,54
./src/test/java/org/jfree/data/function/PolynomialFunction2DTest.java,12,10
./src/test/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGeneratorTest.java,12,15
./src/test/java/org/jfree/chart/urls/CustomCategoryURLGeneratorTest.java,12,17
./src/test/java/org/jfree/chart/urls/CustomXYURLGeneratorTest.java,12,17
./src/test/java/org/jfree/data/time/TimeTableXYDatasetTest.java,12,25
./src/test/java/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRendererTest.java,12,18
./src/test/java/org/jfree/chart/annotations/TextAnnotationTest.java,12,22
./src/test/java/org/jfree/data/xy/XIntervalSeriesCollectionTest.java,12,17
./src/test/java/org/jfree/data/xy/CategoryTableXYDatasetTest.java,12,38
./src/test/java/org/jfree/chart/TestUtils.java,12,33
./src/test/java/org/jfree/chart/annotations/XYDrawableAnnotationTest.java,12,18
./src/test/java/org/jfree/chart/renderer/LookupPaintScaleTest.java,12,49
./src/test/java/org/jfree/data/time/TimePeriodValuesCollectionTest.java,12,26
./src/test/java/org/jfree/data/xy/DefaultTableXYDatasetTest.java,12,31
./src/test/java/org/jfree/chart/plot/ThermometerPlotTest.java,12,37
./src/test/java/org/jfree/data/time/ohlc/OHLCSeriesCollectionTest.java,12,23
./src/test/java/org/jfree/data/time/ohlc/OHLCSeriesTest.java,12,36
./src/test/java/org/jfree/chart/block/GridArrangementTest.java,12,38
./src/test/java/org/jfree/data/general/DefaultPieDatasetTest.java,13,20
./src/test/java/org/jfree/chart/renderer/xy/XYErrorRendererTest.java,13,24
./src/test/java/org/jfree/data/gantt/SlidingGanttCategoryDatasetTest.java,13,17
./src/test/java/org/jfree/chart/renderer/xy/XYBlockRendererTest.java,13,27
./src/test/java/org/jfree/chart/renderer/category/ScatterRendererTest.java,13,28
./src/test/java/org/jfree/data/category/CategoryToPieDatasetTest.java,13,17
./src/test/java/org/jfree/chart/plot/ValueMarkerTest.java,13,42
./src/test/java/org/jfree/data/statistics/DefaultMultiValueCategoryDatasetTest.java,13,32
./src/test/java/org/jfree/data/DataUtilsTest.java,13,51
./src/test/java/org/jfree/data/xy/YIntervalSeriesTest.java,13,47
./src/test/java/org/jfree/chart/GanttChartTest.java,13,4
./src/test/java/org/jfree/data/xy/DefaultXYDatasetTest.java,14,28
./src/test/java/org/jfree/data/xy/DefaultXYZDatasetTest.java,14,28
./src/test/java/org/jfree/chart/plot/MeterPlotTest.java,14,49
./src/test/java/org/jfree/data/xy/VectorSeriesTest.java,14,48
./src/test/java/org/jfree/data/xy/XYIntervalSeriesTest.java,14,53
./src/test/java/org/jfree/chart/axis/PeriodAxisTest.java,14,47
./src/test/java/org/jfree/data/KeyedObjectsTest.java,14,55
./src/test/java/org/jfree/chart/text/format/HMSNumberFormatTest.java,15,6
./src/test/java/org/jfree/chart/labels/StandardXYZToolTipGeneratorTest.java,15,23
./src/test/java/org/jfree/data/statistics/HistogramDatasetTest.java,15,51
./src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,15,46
./src/test/java/org/jfree/data/xy/XIntervalSeriesTest.java,15,51
./src/test/java/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java,15,38
./src/test/java/org/jfree/chart/text/format/RelativeDateFormatTest.java,16,30
./src/test/java/org/jfree/chart/legend/LegendGraphicTest.java,16,41
./src/test/java/org/jfree/data/xy/TableXYDatasetTest.java,16,34
./src/test/java/org/jfree/chart/renderer/xy/XYAreaRendererTest.java,16,32
./src/test/java/org/jfree/data/statistics/DefaultStatisticalCategoryDatasetTest.java,16,46
./src/test/java/org/jfree/chart/axis/LogAxisTest.java,16,35
./src/test/java/org/jfree/chart/swing/ChartPanelTest.java,16,23
./src/test/java/org/jfree/chart/renderer/xy/XYSplineRendererTest.java,17,17
./src/test/java/org/jfree/chart/plot/IntervalMarkerTest.java,17,18
./src/test/java/org/jfree/data/xy/DefaultWindDatasetTest.java,17,21
./src/test/java/org/jfree/data/category/SlidingCategoryDatasetTest.java,17,42
./src/test/java/org/jfree/chart/LegendItemTest.java,17,46
./src/test/java/org/jfree/data/KeyedObjects2DTest.java,17,51
./src/test/java/org/jfree/data/time/YearTest.java,17,47
./src/test/java/org/jfree/chart/plot/dial/DialPlotTest.java,18,37
./src/test/java/org/jfree/data/category/DefaultCategoryDatasetTest.java,18,51
./src/test/java/org/jfree/data/time/MinuteTest.java,18,64
./src/test/java/org/jfree/data/time/HourTest.java,18,64
